"";"uf";"codUf";"codIbge";"nomeMun"
"341";"BA";"29";"2910727";"EUNAPOLIS"
"342";"BA";"29";"2910750";"FATIMA"
"343";"BA";"29";"2910776";"FEIRA DA MATA"
"344";"BA";"29";"2910800";"FEIRA DE SANTANA"
"345";"BA";"29";"2910859";"FILADELFIA"
"346";"BA";"29";"2910909";"FIRMINO ALVES"
"347";"BA";"29";"2911006";"FLORESTA AZUL"
"348";"BA";"29";"2911105";"FORMOSA DO RIO PRETO"
"349";"BA";"29";"2911204";"GANDU"
"350";"BA";"29";"2911253";"GAVIAO"
"351";"BA";"29";"2911303";"GENTIO DO OURO"
"352";"BA";"29";"2911402";"GLORIA"
"353";"BA";"29";"2911501";"GONGOGI"
"354";"BA";"29";"2911600";"GOVERNADOR MANGABEIRA"
"355";"BA";"29";"2911659";"GUAJERU"
"356";"BA";"29";"2911709";"GUANAMBI"
"357";"BA";"29";"2911808";"GUARATINGA"
"358";"BA";"29";"2911857";"HELIOPOLIS"
"359";"BA";"29";"2911907";"IACU"
"360";"BA";"29";"2912004";"IBIASSUCE"
"361";"BA";"29";"2912103";"IBICARAI"
"362";"BA";"29";"2912202";"IBICOARA"
"363";"BA";"29";"2912301";"IBICUI"
"364";"BA";"29";"2912400";"IBIPEBA"
"365";"BA";"29";"2912509";"IBIPITANGA"
"366";"BA";"29";"2912608";"IBIQUERA"
"367";"BA";"29";"2912707";"IBIRAPITANGA"
"368";"BA";"29";"2912806";"IBIRAPUA"
"369";"BA";"29";"2912905";"IBIRATAIA"
"370";"BA";"29";"2913002";"IBITIARA"
"371";"BA";"29";"2913101";"IBITITA"
"372";"BA";"29";"2913200";"IBOTIRAMA"
"373";"BA";"29";"2913309";"ICHU"
"374";"BA";"29";"2913408";"IGAPORA"
"375";"BA";"29";"2913457";"IGRAPIUNA"
"376";"BA";"29";"2913507";"IGUAI"
"377";"BA";"29";"2913606";"ILHEUS"
"378";"BA";"29";"2913705";"INHAMBUPE"
"379";"BA";"29";"2913804";"IPECAETA"
"380";"BA";"29";"2913903";"IPIAU"
"381";"BA";"29";"2914000";"IPIRA"
"382";"BA";"29";"2914109";"IPUPIARA"
